question,df_answer,llm_answer,total_time,BS_precision,BS_recall,BS_F1,similarity_value,is_similar
Em que país a Normandia está localizada?,França,França.,0.9891250133514404,0.5872194170951843,0.6646129488945007,0.625761091709137,0.9791609644889832,1
Quando os normandos estavam na Normandia?,Séculos X e XI,Séculos 10 e 11.,0.7550175189971924,0.6155688762664795,0.6290616989135742,0.6227853894233704,0.7150733470916748,1
De quais países os nórdicos se originaram?,"Dinamarca, Islândia e Noruega","Dinamarqueses, noruegueses, nórdicos-gaels, orkney vikings, possivelmente suecos e anglo-dinamarqueses.",2.3109285831451416,-0.07494906336069107,0.15549880266189575,0.033954184502363205,0.4352828860282898,1
Quem era o líder nórdico?,Rollo,N/A,1.923581600189209,0.3553362786769867,0.4197998046875,0.38786759972572327,0.16858457028865814,0
Em que século os normandos ganharam sua identidade separada?,Século X,Século 10.,0.7461237907409668,0.5530940890312195,0.5682497024536133,0.561216413974762,0.7896100878715515,1
Quem foi o duque na batalha de Hastings?,"William, o conquistador",Guilherme II da Normandia.,1.4639296531677246,0.1981537640094757,0.16080620884895325,0.1803610920906067,0.31192415952682495,1
Quem governou o ducado da Normandia,Richard I,Rollo.,0.8521323204040527,0.19764769077301025,0.21069413423538208,0.20518064498901367,0.17303943634033203,0
Que religião eram os normandos,católico,Ortodoxia Católica.,0.9677829742431641,0.3097795248031616,0.4307389259338379,0.3693208396434784,0.5925308465957642,1
Qual é o significado original da palavra Norman?,Viking,"""Norseman, Viking""",0.813626766204834,0.168737530708313,0.47291675209999084,0.31034696102142334,0.8115465044975281,1
Quando a versão latina da palavra Norman foi registrada pela primeira vez?,Século IX,Século IX.,0.8157634735107422,0.778950035572052,0.8050026297569275,0.792178213596344,0.9820027351379395,1
Quando foi fundado o Ducado da Normandia?,911,O Ducado da Normandia foi fundado em 911.,1.3120043277740479,0.08669944852590561,0.20228791236877441,0.14380547404289246,0.40130698680877686,1
Com quem Rollo assinou o tratado de Saint-Clair-sur-Epte?,Rei Carlos III,Rollo assinou o tratado de Saint-Clair-sur-Epte com o rei Carlos III de West Francia.,1.935699462890625,-0.05155633017420769,0.3449421226978302,0.12669068574905396,0.5479294657707214,1
Que rio originalmente delimitou o Ducado,Seine,N/A.,1.697927474975586,0.06039806827902794,0.026442749425768852,0.04449814558029175,0.16833990812301636,0
"Quem, ao chegar, deu aos colonos viking originais uma identidade comum?",Rollo,Rollo.,1.937208652496338,0.7129108309745789,0.7656148076057434,0.7393175363540649,0.9499413967132568,1
Qual era a religião normanda?,catolicismo,Cristianismo.,1.028153896331787,0.4564301669597626,0.41589081287384033,0.4367015063762665,0.3992108702659607,1
Em que parte da França os normandos estavam localizados?,norte,Normandia.,1.0135550498962402,0.32946348190307617,0.25185978412628174,0.2908328175544739,0.31578290462493896,1
Qual foi uma das principais exportações da Normandia?,cavaleiros de combate,N/A.,1.227004051208496,-0.015044284984469414,-0.10865550488233566,-0.061794985085725784,0.12342719733715057,0
"Quem foi o principal inimigo dos normandos na Itália, no Império Bizantino e na Armênia?",Seljuk Turks,Turcos seljúcidas.,1.164426565170288,0.17175938189029694,0.1344357579946518,0.15401038527488708,0.4772966206073761,1
Quando Herve serviu como general bizantino?,1050s,Na década de 1050.,2.3992831707000732,0.23491083085536957,0.42242681980133057,0.32523733377456665,0.4911021888256073,1
Quando Robert Crispin enfrentou os turcos?,1060s,"Na década de 1060, Robert Crispin enfrentou os turcos.",2.3623428344726562,-0.02359781228005886,0.2562006413936615,0.10675963014364243,0.38046976923942566,1
Quem arruinou os planos de Roussel de Bailleul para um estado independente?,Alexius Komnenos,N/A.,1.6072771549224854,0.019166914746165276,-0.15755906701087952,-0.07254716008901596,0.10636266320943832,0
Qual era o nome do castelo normando?,Afranji,N/A.,0.9230127334594727,0.05829130485653877,0.024953749030828476,0.04270840808749199,0.16367611289024353,0
Quem era o líder quando os francos entraram no vale do Eufrates?,Oursel,Raimbaud.,1.255854606628418,0.2100878804922104,0.18596358597278595,0.1989903748035431,0.18586808443069458,0
Com quem os normandos se uniram na Anatólia?,Forças turcas,Forças turcas.,0.7485895156860352,0.7758083343505859,0.8287140130996704,0.8022393584251404,0.9885220527648926,1
Quais foram as origens da família Raouliii?,Mercenário normando,N/A,2.7166473865509033,0.222695454955101,0.16453275084495544,0.19421817362308502,0.15051349997520447,0
Qual era o nome do conde de Apúlia,Robert Guiscard,Robert Guiscard.,2.1906588077545166,0.7004953622817993,0.7439520359039307,0.7223899364471436,0.9866436123847961,1
Quando Dyrrachium caiu para os normandos?,1082,N/A.,0.9446594715118408,0.10041119903326035,0.031977083534002304,0.06674988567829132,0.21055516600608826,1
Quantos homens havia no exército de Robert?,30.000,N/A.,2.9478394985198975,0.13231071829795837,0.1127556711435318,0.1236196979880333,0.2133910059928894,1
Onde os normandos e bizantinos assinaram o tratado de paz?,Deabolis,Na cidade de Deabolis.,1.0140266418457031,0.3517768085002899,0.5860544443130493,0.4633214771747589,0.6073522567749023,1
Quem era o filho de Robert?,Bohemond,N/A.,2.70052170753479,0.059857066720724106,0.006953621283173561,0.034260284155607224,0.11644261330366135,0
Em que rio Petrela foi localizada?,Deabolis,Rio Vístula.,2.833899974822998,0.12642031908035278,0.08883140981197357,0.10859040170907974,0.4073193073272705,1
Quando os normandos atacaram Dyrrachium?,1185,Em 1185.,0.9252607822418213,0.45774489641189575,0.5759463906288147,0.5159063935279846,0.8028808832168579,1
Como se chamava a base naval?,Dyrrachium,Base Naval Submarina Kings Bay.,2.807468891143799,-0.07736522704362869,-0.05304497480392456,-0.06391376256942749,0.13155725598335266,0
Onde estava localizado o Dyrrachium?,o Adriático,Dyrrachium estava localizado no Adriático.,2.25110125541687,0.3058304190635681,0.5735245943069458,0.4320903420448303,0.6602128744125366,1
Com quem Emma se casou?,Rei Ethelred II,Ethelred II da Inglaterra.,3.0486507415771484,0.47718578577041626,0.5949159860610962,0.5351126790046692,0.6635512709617615,1
Quem era o irmão de Emma?,Duque Richard II,Duque Richard II da Normandia.,2.745959997177124,0.5125694274902344,0.7365976572036743,0.6197077631950378,0.8267929553985596,1
Para onde Ethelred fugiu?,Normandia,Para a Normandia.,1.0610895156860352,0.34350907802581787,0.5570270419120789,0.44571706652641296,0.7305084466934204,1
Quem expulsou Ethelred?,Sweyn Forkbeard,Earl Godwin.,1.0505924224853516,0.16529208421707153,0.044531673192977905,0.10407324135303497,0.15862813591957092,0
"Quem era o meio-irmão de Edward, o Confessor?",Harthacnut,Harthacnut.,1.3646786212921143,0.6516097784042358,0.7037280797958374,0.6778026223182678,0.9713947176933289,1
Quando Edward voltou?,1041,1041.,2.534162998199463,0.6698727607727051,0.7096754908561707,0.6900113224983215,0.9704862833023071,1
Quem Edward fez o arcebispo de Canterbury?,Robert de Jumièges,Robert de Jumièges.,1.1702847480773926,0.6895895600318909,0.7237224578857422,0.7069157958030701,0.9890926480293274,1
Onde Harold II morreu?,Batalha de Hastings,Na batalha de Hastings.,1.4613890647888184,0.6016431450843811,0.7154723405838013,0.6576350927352905,0.8700859546661377,1
Quem matou Harold II?,William II,Harold II foi morto por Guilherme II da Normandia.,1.4955158233642578,0.31428560614585876,0.5015609860420227,0.40456047654151917,0.3984014689922333,1
Quando foi a batalha de Hastings?,1066,1066.,1.182116985321045,0.6102010011672974,0.6318643689155579,0.6214737892150879,0.9771789908409119,1
Quem era a classe dominante à frente dos normandos?,Anglo-saxões,Os normandos.,0.8002927303314209,0.378190279006958,0.25835034251213074,0.31739187240600586,0.2754179537296295,1
Qual era a forma final da língua anglo-normanda?,Inglês moderno,Inglês moderno.,0.9389846324920654,0.6550052165985107,0.7097110748291016,0.6824575662612915,0.9856590628623962,1
Em que ano os normandos invadiram a Baía de Bannow?,1169,1066.,0.737189531326294,0.46479332447052,0.3260499835014343,0.39392930269241333,0.4211423397064209,1
Em que país os normandos invadiram em 1169?,Irlanda,Inglaterra.,0.9611191749572754,0.40715542435646057,0.35982224345207214,0.3840225636959076,0.33635199069976807,1
Com que cultura os normandos se combinaram na Irlanda?,irlandês,Cultura irlandesa.,0.857999324798584,0.38950785994529724,0.38238218426704407,0.3867357671260834,0.5018687844276428,1
Quem era o irmão de Margaret?,Edgar,Edgar,2.5467686653137207,0.9999993443489075,0.9999993443489075,0.9999993443489075,1.0,1
Quem era o marido de Margaret?,Rei Malcolm III da Escócia,Malcolm III da Escócia.,2.5584795475006104,0.799741268157959,0.7554520964622498,0.7776890397071838,0.897971510887146,1
Quando a Escócia foi invadida por William?,1072,William invadiu a Escócia em 1072.,1.3389742374420166,0.04735622927546501,0.4062446653842926,0.21122264862060547,0.37746697664260864,1
Quem foi o refém?,Duncan,Irmã e noiva Berengaria.,3.4317665100097656,-0.1469239741563797,0.0974317267537117,-0.0322505421936512,0.03671003133058548,0
Com quem Alexander eu casei?,Sybilla da Normandia,Margaret.,2.8042941093444824,0.041268352419137955,-0.0968012586236,-0.029253371059894562,0.3472384214401245,1
"Que chegada da cultura à Escócia é conhecida como a ""Revolução Davidiana""?",normando,"A ""Revolução Davidiana"".",1.7114877700805664,0.08426420390605927,0.08740904927253723,0.08702079951763153,0.32754552364349365,1
De onde Ralph era conde?,Hereford,Ralph era conde de Hereford.,1.4541420936584473,0.11575323343276978,0.32881462574005127,0.21743358671665192,0.6021875143051147,1
Com quem Ralph estava encarregado de estar em guerra?,o galês,Galeses.,2.2770097255706787,0.1855623573064804,0.11945697665214539,0.1530255526304245,0.7186787128448486,1
Quem fez Ralph conde?,"Eduardo, o Confessor","Eduardo, o Confessor.",2.0409128665924072,0.8242132663726807,0.8765594959259033,0.8503129482269287,0.9885251522064209,1
Que país estava sob o controle dos barões normandos?,País de Gales,Inglaterra.,0.9403817653656006,0.4104158580303192,0.22716273367404938,0.31555062532424927,0.320169061422348,1
Em que ano Roger de Tosny deixou de realizar o que pretendia fazer?,1018,Em 1018.,2.764538526535034,0.3947894871234894,0.4694698750972748,0.43221601843833923,0.8149327635765076,1
